"item_description","sales","transaction_frequency","share_sales","cumulative_sales","cumulative_frequency","sales_category","frequency_category","combined_category","sales_x_frequency"
"deep eddy peach mini","7.26","340","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"tortilla gold dss","7.28","11","8.435931912673313e-06","99.99401475267403","10362804","C","Z","CZ","1036218376.0550694"
"seagrams extra dry gin","7.3","67","8.459107549796043e-06","99.99400631674212","10362793","C","Z","CZ","1036217188.7010909"
"smirnoff sourced watermelon mini","7.31","121","8.470695368357407e-06","99.99399785763457","10362726","C","Z","CZ","1036210401.443254"
"castillo silver rum","7.34","92","8.5054588240415e-06","99.9939893869392","10362605","C","Z","CZ","1036198214.3910432"
"revel stoke peanut butter whisky mini","7.34","242","8.5054588240415e-06","99.9939893869392","10362605","C","Z","CZ","1036198214.3910432"
"revel stoke honey mini","7.34","38","8.5054588240415e-06","99.9939893869392","10362605","C","Z","CZ","1036198214.3910432"
"revel stoke roasted apple mini","7.34","75","8.5054588240415e-06","99.9939893869392","10362605","C","Z","CZ","1036198214.3910432"
"revel stoke root beer mini","7.34","65","8.5054588240415e-06","99.9939893869392","10362605","C","Z","CZ","1036198214.3910432"
"piehole apple pie mini","7.35","172","8.517046642602864e-06","99.99394685964509","10362093","C","Z","CZ","1036146576.7967004"
"smirnoff red, white & berry mini","7.35","265","8.517046642602864e-06","99.99394685964509","10362093","C","Z","CZ","1036146576.7967004"
"kinky fruit punch mini","7.35","445","8.517046642602864e-06","99.99394685964509","10362093","C","Z","CZ","1036146576.7967004"
"american anthem vodka mini","7.35","95","8.517046642602864e-06","99.99394685964509","10362093","C","Z","CZ","1036146576.7967004"
"360 lime vodka mini","7.35","32","8.517046642602864e-06","99.99394685964509","10362093","C","Z","CZ","1036146576.7967004"
"360 lime mini","7.35","20","8.517046642602864e-06","99.99394685964509","10362093","C","Z","CZ","1036146576.7967004"
"360 bing cherry mini","7.35","47","8.517046642602864e-06","99.99394685964509","10362093","C","Z","CZ","1036146576.7967004"
"forbidden secret mocha mini","7.35","30","8.517046642602864e-06","99.99394685964509","10362093","C","Z","CZ","1036146576.7967004"
"forbidden secret white chocolate mini","7.35","56","8.517046642602864e-06","99.99394685964509","10362093","C","Z","CZ","1036146576.7967004"
"deep eddy orange mini","7.38","226","8.551810098286958e-06","99.99387020622535","10360931","C","Z","CZ","1036029589.6296567"
"mr boston rock & rye","7.4","255","8.574985735409687e-06","99.99386165441526","10360705","C","Z","CZ","1036006902.4122084"
"jagermeister mini meisters","7.4","327","8.574985735409687e-06","99.99386165441526","10360705","C","Z","CZ","1036006902.4122084"
"jagermeister liqueur mini meisters","7.4","275","8.574985735409687e-06","99.99386165441526","10360705","C","Z","CZ","1036006902.4122084"
"arrow super cinnamon schnapps mini","7.41","5","8.586573553971051e-06","99.99383592945803","10359848","C","Z","CZ","1035920941.1661239"
"ten high","7.41","343","8.586573553971051e-06","99.99383592945803","10359848","C","Z","CZ","1035920941.1661239"
"kinky vodka mini","7.43","567","8.609749191093781e-06","99.99381875631092","10359500","C","Z","CZ","1035885965.4060029"
"malibu coconut mini","7.43","752","8.609749191093781e-06","99.99381875631092","10359500","C","Z","CZ","1035885965.4060029"
"malibu strawberry mini","7.43","276","8.609749191093781e-06","99.99381875631092","10359500","C","Z","CZ","1035885965.4060029"
"malibu coconut rum mini","7.43","4354","8.609749191093781e-06","99.99381875631092","10359500","C","Z","CZ","1035885965.4060029"
"pennsylvania dutch egg nog","7.4399999999999995","1","8.621337009655145e-06","99.99378431731417","10353551","C","Z","CZ","1035290745.6123124"
"captain morgan watermelon smash mini","7.44","371","8.621337009655145e-06","99.99377569597715","10353550","C","Z","CZ","1035290556.3570842"
"smirnoff moscow mule mini","7.44","68","8.621337009655145e-06","99.99377569597715","10353550","C","Z","CZ","1035290556.3570842"
"captain morgan cannon blast mini","7.44","283","8.621337009655145e-06","99.99377569597715","10353550","C","Z","CZ","1035290556.3570842"
"e & j vs","7.44","28","8.621337009655145e-06","99.99377569597715","10353550","C","Z","CZ","1035290556.3570842"
"evan williams kentucky cider","7.44","15","8.621337009655145e-06","99.99377569597715","10353550","C","Z","CZ","1035290556.3570842"
"captain morgan apple smash mini","7.44","1099","8.621337009655145e-06","99.99377569597715","10353550","C","Z","CZ","1035290556.3570842"
